SP_ID,stroke_exp,pop,y,Townsend.class,NOx.class,Townsend,NOx,Offset
05CGFA01,2.620953252,931.65,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.549570018
05CGFA02,1.989744187,710.36,1,"(-2.07,0.086]","(82.1,243]",2,5,-2.551463072
05CGFA03,2.286056033,654.12,3,"(0.086,3.11]","(82.1,243]",3,5,-2.455050101
05CGFA04,2.151745813,1109.37,0,"(-2.07,0.086]","(82.1,243]",2,5,-2.711442271
05CGFA05,4.380834231,1159.31,1,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.420998529
05CGFA06,3.09495364,1020.21,5,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.516715931
05CGFA07,8.524773222,1513.75,1,"(0.086,3.11]","(41.4,53.6]",3,2,-2.246918654
05CGFA08,3.966622776,1159.66,11,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.464421723
05CGFA09,2.156440443,1219.78,1,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.751775574
05CGFA10,2.522882198,1068.9,3,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.626013845
05CGFA11,2.566883456,1374.69,4,"(0.086,3.11]","(64.8,82.1]",3,4,-2.72798693
05CGFA12,3.262822757,898.04,3,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.438121415
05CGFA13,5.220843245,1510.25,12,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.45980426
05CGFA14,4.41029567,1184.51,2,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.427450996
05CGFA15,2.925478267,833.92,2,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.453401285
05CGFA16,2.375707574,918.65,2,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.58623252
05CGFA17,2.687291984,914.03,5,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.530366866
05CGFA18,3.122287537,987.69,1,"(-2.07,0.086]","(53.6,64.8]",2,3,-2.498772694
05CGFA19,2.866227583,798.07,1,"(-2.07,0.086]","(64.8,82.1]",2,4,-2.443167761
05CGFA20,2.302691407,564.55,2,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.387691645
05CGFA21,3.735562341,1129.16,2,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.478960353
05CGFA22,6.217194176,1669.95,4,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.427489149
05CGFA23,2.212298028,880.54,1,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.598812948
05CGFA24,3.761081556,1087.31,3,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.459535772
05CGFA25,4.561301587,1352.17,5,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.470475017
05CGFA26,6.579259254,1762.42,4,"(0.086,3.11]","(41.4,53.6]",3,2,-2.426308122
05CGFA27,2.742550738,1103.37,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.603485669
05CGFA28,3.756467469,1192.45,1,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.500290268
05CGFA29,3.433368817,1007.64,4,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.466102626
05CGFA30,2.895123925,1372.79,4,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.675020083
05CGFA31,8.996857971,1530.43,1,"(3.11,5.44]","(53.6,64.8]",4,3,-2.228162008
05CGFA32,3.387399888,1065.66,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.496369511
05CGFA33,3.539841212,1076.52,0,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.48160791
05CGFA34,2.132736271,885.19,3,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.617051712
05CGFA35,3.519830883,1070.29,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.481549065
05CGFA36,5.809177097,1097.96,2,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.274168001
05CGFA37,5.451914813,1461.01,3,"(0.086,3.11]","[7.8,41.4]",3,1,-2.42648048
05CGFB01,2.06972481,709.38,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.533697362
05CGFB02,3.024847707,880.06,0,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.462313487
05CGFB03,1.082211401,1060.55,0,"(5.44,9.2]","(41.4,53.6]",5,2,-2.990775652
05CGFB04,2.692640944,947.03,4,"(5.44,9.2]","(53.6,64.8]",5,3,-2.544948726
05CGFB05,2.34143402,627.55,0,"[-6.54,-2.07]","(53.6,64.8]",1,3,-2.426542995
05CGFB06,2.037496072,1076.63,0,"(3.11,5.44]","(41.4,53.6]",4,2,-2.722147027
05CGFB07,2.435107128,1027.11,1,"(3.11,5.44]","(41.4,53.6]",4,2,-2.624068023
05CGFB08,1.843634253,1055.82,2,"(3.11,5.44]","(41.4,53.6]",4,2,-2.757156104
05CGFB09,3.411378324,776.24,3,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.355153312
05CGFB10,2.521833972,721.08,3,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.454745438
05CGFB11,1.693702595,715.92,1,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.624998684
05CGFB12,2.824806139,1404.78,1,"(0.086,3.11]","(41.4,53.6]",3,2,-2.695745486
05CGFB13,1.973635005,1028.35,3,"(0.086,3.11]","[7.8,41.4]",3,1,-2.716039803
05CGFB14,4.126256364,1196.73,2,"(3.11,5.44]","(41.4,53.6]",4,2,-2.460939961
05CGFB15,5.431024932,1393.34,5,"(0.086,3.11]","[7.8,41.4]",3,1,-2.407479188
05CGFB16,3.538356486,915.94,2,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.411384473
05CGFB17,4.89895981,1518.71,9,"(3.11,5.44]","(41.4,53.6]",4,2,-2.489967792
05CGFB18,4.37934688,1568.39,2,"(3.11,5.44]","(41.4,53.6]",4,2,-2.552830361
05CGFB19,3.459946357,1540.14,4,"(3.11,5.44]","[7.8,41.4]",4,1,-2.647514089
05CGFB20,7.366607726,1240.24,7,"(3.11,5.44]","[7.8,41.4]",4,1,-2.223650936
05CGFB21,2.348163704,1037.13,2,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.644120426
05CGFB22,3.08113251,1309.76,2,"(3.11,5.44]","[7.8,41.4]",4,1,-2.627458491
05CGFB23,3.138915142,1440.34,3,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.660737961
05CGFB24,2.913207954,1267.63,2,"(0.086,3.11]","[7.8,41.4]",3,1,-2.637621798
05CGFB25,3.681543233,1301.21,2,"(0.086,3.11]","(41.4,53.6]",3,2,-2.547086987
05CGFB26,4.943524165,1210.65,3,"(5.44,9.2]","(41.4,53.6]",5,2,-2.387204932
05CGFB27,2.260948398,1096.29,1,"(3.11,5.44]","(41.4,53.6]",4,2,-2.684738204
05CGFB28,2.996309049,1168.91,2,"[-6.54,-2.07]","(41.4,53.6]",1,2,-2.590079796
05CGFB29,3.542126896,1215.4,3,"[-6.54,-2.07]","(64.8,82.1]",1,4,-2.534187573
05CGFB30,4.90092261,1355.47,1,"(0.086,3.11]","(41.4,53.6]",3,2,-2.440238957
05CGFB31,3.077215378,1333.6,5,"(3.11,5.44]","[7.8,41.4]",4,1,-2.635864422
05CGFB32,0.93548615,935.6,2,"(3.11,5.44]","(41.4,53.6]",4,2,-2.999618392
05CGFB33,2.667502792,1216.16,5,"(-2.07,0.086]","(41.4,53.6]",2,2,-2.657932213
05CGFB34,2.357107493,1130.1,0,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.67983071
05CGFB35,2.844324826,1292.53,2,"(0.086,3.11]","(41.4,53.6]",3,2,-2.656504684
05CGFB36,2.04552703,1433.69,1,"[-6.54,-2.07]","[7.8,41.4]",1,1,-2.845029958
05CGFB37,1.622616542,1615.74,0,"(-2.07,0.086]","[7.8,41.4]",2,1,-2.997719216
05CGFC01,2.843667955,871.71,2,"(3.11,5.44]","(64.8,82.1]",4,4,-2.485074085
05CGFC02,3.998839382,1119.7,2,"(3.11,5.44]","(64.8,82.1]",4,4,-2.445613924
05CGFC03,3.207453801,998.8,2,"(3.11,5.44]","(64.8,82.1]",4,4,-2.491921227
05CGFC04,3.930291914,1052.83,2,"(5.44,9.2]","(53.6,64.8]",5,3,-2.426309157
05CGFC05,4.083830067,1124.43,8,"(3.11,5.44]","(53.6,64.8]",4,3,-2.438284572
05CGFC06,3.785640342,1232.14,2,"(3.11,5.44]","(53.6,64.8]",4,3,-2.51118432
05CGFC07,3.167515664,1076.79,2,"(0.086,3.11]","(53.6,64.8]",3,3,-2.530132827
05CGFC08,2.366070114,928.11,2,"(3.11,5.44]","(53.6,64.8]",4,3,-2.592463263
05CGFC09,1.67895862,679.28,0,"(3.11,5.44]","(64.8,82.1]",4,4,-2.605934072
05CGFC10,1.460346436,964.17,1,"(-2.07,0.086]","(82.1,243]",2,5,-2.819039432
05CGFC11,1.34186063,946.65,1,"(-2.07,0.086]","(82.1,243]",2,5,-2.847865986
05CGFC12,1.611993358,1213.82,13,"(-2.07,0.086]","(82.1,243]",2,5,-2.8762139
05CGFC13,5.142650327,1279.04,4,"(3.11,5.44]","(82.1,243]",4,5,-2.393947438
05CGFC14,1.373415067,685.86,0,"(0.086,3.11]","(82.1,243]",3,5,-2.697563133
05CGFC15,4.083615706,948.13,6,"(0.086,3.11]","(82.1,243]",3,5,-2.363948468
05CGFC16,2.418094662,960.34,5,"(0.086,3.11]","(64.8,82.1]",3,4,-2.597856806
